carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,1099,2850,1088
FR,Italy,Italy,4871,8673,4823
NO,Italy,Egypt,92,45,91
NO,Italy,Spain,16,18,16
FR,Italy,Spain,2559,4897,2534
FR,Italy,Morocco,104,273,103
AZ,Italy,United States,170,1099,168
LA,Italy,Brazil,10,52,10
AZ,Italy,Tunisia,8,34,8
IB,Italy,Spain,174,174,172
FR,Italy,United Kingdom,705,1012,698
W6,Italy,Italy,443,805,439
QR,Italy,,0,25,0
IB,Spain,Italy,44,44,44
W6,Italy,Egypt,178,213,176
AZ,Italy,,0,176,0
NO,Italy,United States,25,9,25
TU,Tunisia,Italy,0,12,0
LH,Italy,,0,57,0
AT,Italy,Morocco,26,79,26
SM,Italy,Egypt,47,173,47
UG,Tunisia,Italy,0,1,0
TK,Italy,Turkey,179,413,177
AF,Italy,Faroe Islands,13,17,13
FR,Italy,Greece,735,1411,728
AC,Italy,Canada,24,91,24
LA,Colombia,Colombia,8,18,8
FR,Italy,Malta,438,702,434
KM,Malta,Italy,0,19,0
AY,Italy,,0,3,0
JU,Italy,Turkey,4,6,4
W6,Italy,Romania,80,169,79
LX,Italy,,0,17,0
EY,Italy,,6,5,6
FR,Italy,France,399,631,395
SM,Egypt,Italy,8,42,8
AZ,Italy,France,23,88,23
U2,Italy,Italy,2084,239,2063
FR,Italy,Germany,227,485,225
AZ,Italy,Morocco,7,28,7
KL,Italy,United States,62,201,61
EK,Italy,Indonesia,22,32,22
NO,Spain,Italy,4,0,4
QR,India,Italy,1,1,1
FR,Italy,Portugal,364,546,360
NO,Italy,Dominican Republic,10,2,10
U2,Italy,Spain,826,193,818
FR,Italy,Belgium,179,267,177
U2,Italy,United Kingdom,251,57,249
EK,Italy,,0,10,0
AZ,Italy,Algeria,2,2,2
W6,Italy,Albania,63,187,62
SQ,Italy,,0,6,0
W6,Italy,Jordan,43,28,43
TK,Italy,,0,32,0
NO,Italy,Maldives,7,2,7
V7,Italy,Italy,1029,835,1019
IB,Italy,Colombia,31,14,31
NO,Egypt,Italy,8,3,8
LH,Italy,Japan,45,58,45
AZ,Tunisia,Italy,2,10,2
W6,Italy,Portugal,37,35,37
TK,Italy,Mauritius,0,3,0
MS,Italy,Egypt,0,95,0
FR,Germany,Italy,81,141,80
QR,Switzerland,Thailand,0,0,0
GF,Egypt,United Arab Emirates,0,2,0
LA,Switzerland,Brazil,0,30,0
MH,Italy,Malaysia,0,9,0
AZ,United States,Italy,14,31,14
LX,Italy,United States,60,31,59
AF,Italy,United States,80,123,79
W6,Italy,United Arab Emirates,106,89,105
EY,Italy,Indonesia,15,46,15
TK,Italy,United States,15,4,15
RO,Romania,Romania,0,7,0
EW,Spain,Germany,4,5,4
JU,Turkey,Italy,3,3,3
AT,Morocco,Italy,9,22,9
FR,Italy,Poland,98,167,97
JU,Italy,Serbia,20,9,20
U2,Italy,Portugal,161,40,159
KL,Italy,Dominican Republic,7,30,7
RJ,Italy,Jordan,1,8,1
SP,Portugal,Portugal,0,5,0
UX,Spain,Spain,6,18,6
FR,Greece,Italy,72,79,71
FR,Italy,Hungary,158,204,156
FR,Italy,Czech Republic,99,187,98
DY,Finland,Finland,0,13,0
FR,Italy,Austria,161,208,159
LH,Italy,United States,235,114,233
PR,Australia,,0,0,0
OB,Brazil,,0,1,0
NO,Mexico,Italy,1,0,1
OS,Italy,Japan,4,12,4
BI,United Arab Emirates,Indonesia,0,0,0
EY,Italy,Maldives,7,10,7
RO,Moldova,Italy,0,0,0
S4,Portugal,Portugal,3,1,3
W6,Greece,Italy,18,20,18
KQ,Italy,Madagascar,0,2,0
TK,Italy,Saudi Arabia,0,1,0
IB,Portugal,Spain,1,1,1
TK,Turkey,Italy,11,29,11
TK,Italy,Uzbekistan,7,4,7
IB,Italy,,4,8,4
KU,Italy,Malaysia,0,5,0
RJ,Egypt,Italy,0,4,0
HC,Ivory Coast,Italy,0,9,0
TP,Italy,United States,16,13,16
FR,Spain,Italy,451,581,447
TC,Tanzania,Tanzania,0,6,0
MS,Italy,Kenya,0,25,0
LA,Chile,United States,0,3,0
NT,Spain,Spain,0,12,0
ET,Cameroon,Italy,0,34,0
2W,Dominican Republic,Spain,0,0,0
QR,Italy,Vietnam,9,15,9
WY,Italy,,0,0,0
WT,Spain,Spain,0,0,0
MS,Egypt,Egypt,0,51,0
EY,Spain,Malaysia,0,6,0
NO,Italy,Senegal,13,19,13
BA,Italy,United States,270,362,267
TP,Italy,Senegal,1,20,1
EK,Italy,Mauritius,1,55,1
PW,Tanzania,Tanzania,0,0,0
AH,Italy,Niger,0,4,0
TK,Italy,South Korea,1,15,1
ET,Nigeria,Italy,0,0,0
EK,France,,0,0,0
FR,Italy,Lithuania,8,33,8
IB,Spain,Morocco,2,1,2
SK,Faroe Islands,Italy,0,0,0
FR,Italy,Sweden,48,111,48
AM,Mexico,Italy,0,5,0
QR,France,Singapore,0,6,0
IB,Italy,Senegal,2,3,2
TG,Thailand,Thailand,7,8,7
ET,Ethiopia,Netherlands,0,2,0
IB,Italy,Dominican Republic,8,14,8
BR,Indonesia,Italy,0,4,0
AH,France,Algeria,0,3,0
CA,Austria,Thailand,0,0,0
EK,Italy,Thailand,27,24,27
EI,Italy,United States,30,4,30
UX,Spain,Italy,7,30,7
JL,Italy,Japan,5,8,5
V7,Italy,Greece,532,498,527
W6,Italy,United Kingdom,35,58,35
UG,Italy,Tunisia,0,4,0
FR,Malta,Greece,7,5,7
NO,United States,Italy,3,3,3
LA,Peru,Mexico,0,3,0
LA,Brazil,Argentina,0,2,0
AM,Spain,,0,1,0
IB,Israel,Spain,0,0,0
LH,Italy,Thailand,39,43,39
