carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,703,1692,696
FR,Italy,Italy,4460,7258,4416
W6,Italy,Italy,844,1787,836
FR,Italy,Spain,2651,5620,2625
NO,Italy,Spain,0,41,0
AZ,Italy,United States,213,990,211
LA,Italy,Brazil,12,56,12
IB,Italy,Spain,221,238,219
FR,Italy,Morocco,139,359,138
AZ,Italy,Tunisia,9,66,9
W6,Italy,Egypt,159,309,157
W6,Italy,United Arab Emirates,85,171,84
TU,Italy,Tunisia,0,66,0
AZ,Italy,,0,152,0
AZ,Morocco,Italy,7,15,7
W6,Italy,Morocco,40,96,40
NO,Italy,United States,0,9,0
KL,Italy,United States,80,307,79
LH,Italy,United States,141,171,140
SM,Egypt,Italy,15,83,15
SM,Italy,Egypt,37,321,37
AZ,Italy,France,55,202,54
FR,Italy,France,419,834,415
UG,Italy,Tunisia,0,31,0
BA,Italy,United States,273,678,270
UX,Italy,Spain,11,39,11
AF,Italy,United States,128,181,127
W6,Italy,Jordan,42,88,42
EK,Italy,,0,10,0
FR,Italy,Greece,854,1437,846
SQ,Italy,,0,8,0
FR,Italy,United Kingdom,512,830,507
TU,Tunisia,Italy,0,47,0
FR,Italy,Malta,326,635,323
QR,Italy,,0,31,0
MS,Egypt,Egypt,0,40,0
AZ,Tunisia,Italy,16,22,16
EY,Italy,Seychelles,5,12,5
UG,Tunisia,Italy,0,4,0
TU,France,Tunisia,0,23,0
WY,Italy,,0,2,0
NO,Italy,Maldives,0,2,0
LH,Italy,,0,66,0
FR,Italy,Germany,221,429,219
IB,Spain,Italy,67,40,66
KM,Malta,Italy,0,27,0
FR,Italy,Belgium,229,315,227
LX,Italy,Thailand,47,41,47
KU,Italy,Thailand,8,3,8
AF,Italy,,3,22,3
TK,Italy,United States,18,18,18
S4,Portugal,Portugal,2,13,2
W6,Italy,Spain,247,924,245
B6,France,United States,0,1,0
FR,Italy,Hungary,133,235,132
FR,Italy,Portugal,379,722,375
BA,Italy,Japan,1,3,1
BA,Italy,,28,79,28
LX,Italy,United States,48,78,48
AZ,Italy,Morocco,3,18,3
WS,Canada,,0,0,0
AC,Italy,,0,5,0
V7,Italy,Italy,759,659,751
KL,Italy,Dominican Republic,3,33,3
LX,Italy,,0,24,0
AY,Italy,United States,15,75,15
W6,Italy,Albania,250,507,248
UX,Spain,Spain,8,11,8
EK,Italy,Indonesia,72,35,71
AY,Italy,,0,3,0
AZ,Italy,Egypt,6,44,6
AF,Martinique,Italy,2,1,2
FR,Italy,Croatia,79,179,78
W6,Albania,Italy,34,96,34
TP,Portugal,Portugal,5,9,5
NO,Italy,Mexico,0,13,0
AZ,Egypt,Italy,2,6,2
SQ,Italy,Japan,3,1,3
OZ,Italy,,0,1,0
TS,Italy,Canada,11,20,11
FR,Italy,Poland,105,161,104
NO,Italy,Dominican Republic,0,4,0
FR,Italy,Jordan,30,73,30
AZ,Italy,Algeria,2,8,2
LH,Italy,Norway,14,19,14
LH,Italy,Canada,10,40,10
FR,Hungary,Italy,52,38,51
JL,Japan,Japan,6,10,6
4Z,South Africa,South Africa,0,6,0
VA,Australia,Australia,5,6,5
LH,Italy,Brazil,17,18,17
NO,Spain,Italy,0,5,0
AY,Italy,Japan,2,11,2
LH,Italy,Argentina,23,10,23
FR,Romania,Italy,23,33,23
SK,Italy,Iceland,2,10,2
QR,Thailand,Italy,18,5,18
JZ,Peru,Peru,0,9,0
AZ,Italy,Canada,0,10,0
SK,Switzerland,Sweden,0,2,0
PW,Kenya,Tanzania,0,3,0
EK,Slovenia,,0,1,0
CA,Australia,Italy,0,5,0
U2,Greece,Italy,93,2,92
PG,Thailand,Thailand,45,24,45
FR,Italy,Czech Republic,94,200,93
TP,Italy,Brazil,52,225,51
BR,Italy,,0,2,0
FR,Italy,Sweden,61,140,60
AZ,Italy,Japan,55,238,54
FR,Germany,Italy,67,117,66
QR,Serbia,,0,0,0
SL,Thailand,Thailand,0,3,0
LA,Colombia,Colombia,14,17,14
WS,Italy,Canada,2,11,2
AZ,Italy,Mexico,0,49,0
FR,Italy,Romania,61,195,60
UK,India,Germany,0,4,0
EK,Italy,Nepal,8,7,8
FR,Italy,Republic of Ireland,155,215,153
G3,Brazil,Brazil,0,27,0
EY,Italy,Thailand,7,25,7
W6,Italy,Romania,177,288,175
LH,Italy,Egypt,11,35,11
JU,Italy,Serbia,46,37,46
TG,Thailand,Thailand,8,6,8
AH,Italy,Senegal,0,3,0
AZ,Germany,Italy,14,32,14
NP,Egypt,Egypt,0,7,0
FR,Spain,Spain,83,46,82
FR,Spain,Italy,383,461,379
BA,United Kingdom,France,3,2,3
AC,Italy,Canada,16,97,16
CI,Italy,Japan,2,36,2
IB,Italy,Morocco,2,14,2
AZ,Italy,Indonesia,0,9,0
U2,Italy,France,1018,248,1008
AZ,Italy,Spain,22,152,22
AZ,United States,Italy,20,20,20
AZ,Tunisia,Greece,0,0,0
LH,Italy,France,11,4,11
LH,Italy,Oman,0,3,0
CA,Thailand,Italy,0,1,0
AZ,Israel,Italy,1,3,1
QR,Singapore,Italy,3,0,3
BA,Italy,Brazil,0,5,0
SN,Italy,Belgium,47,94,47
UA,Costa Rica,Germany,0,0,0
WS,United States,Italy,0,10,0
LH,Germany,,0,3,0
AZ,Italy,Dominican Republic,0,3,0
FZ,Slovenia,,0,4,0
BA,Bolivia,United States,0,0,0
LA,Colombia,,0,1,0
AZ,Italy,French Polynesia,0,0,0
MF,Hong Kong,,0,0,0
WY,Italy,Oman,3,19,3
LX,Switzerland,Mexico,0,10,0
1L,Germany,Italy,0,0,0
EK,Belgium,,0,0,0
LH,France,Germany,2,3,2
WY,France,Oman,0,0,0
UX,Italy,Brazil,2,20,2
QF,New Caledonia,Australia,0,1,0
BA,Italy,Mexico,14,32,14
LA,Brazil,Spain,0,1,0
LO,Poland,United States,0,1,0
BR,Indonesia,Italy,0,0,0
LH,Italy,Aruba,0,0,0
BA,United States,Dominican Republic,0,0,0
LH,United States,United States,0,14,0
UX,Italy,Dominican Republic,10,19,10
MS,Germany,Egypt,0,0,0
OS,Italy,Armenia,3,0,3
AZ,Italy,Brazil,12,54,12
AF,Algeria,France,0,0,0
LH,France,Czech Republic,0,0,0
U2,Spain,France,5,2,5
AH,France,Algeria,0,2,0
VS,France,United States,2,10,2
OS,Italy,,0,2,0
UX,Spain,Portugal,1,3,1
TK,Italy,Qatar,0,1,0
TK,Italy,Philippines,4,7,4
Z8,Bolivia,Bolivia,0,0,0
AZ,Italy,Maldives,1,11,1
TU,France,,0,0,0
W6,Italy,Republic of Macedonia,7,26,7
NH,Italy,Japan,3,11,3
H8,Peru,United States,0,0,0
LA,Peru,Costa Rica,0,2,0
TS,Canada,Mexico,0,8,0
IB,Argentina,Italy,0,3,0
1L,Italy,Germany,0,0,0
LH,Spain,Germany,2,1,2
RJ,Thailand,Italy,0,0,0
W6,Spain,Italy,58,120,57
U2,Spain,Italy,165,28,163
SQ,Spain,Italy,4,0,4
AZ,Mexico,United States,0,0,0
FR,Italy,Denmark,155,270,153
NO,Canada,Italy,4,1,4
TK,Italy,Egypt,9,22,9
QR,Italy,Australia,5,20,5
BA,Belgium,Pakistan,0,0,0
LH,Albania,China,0,1,0
NZ,Italy,,0,0,0
W6,Italy,United Kingdom,206,352,204
IB,Italy,Portugal,7,8,7
UX,Italy,United States,3,4,3
AM,Mexico,Italy,0,4,0
KU,United Kingdom,Kuwait,1,2,1
EK,Italy,Australia,23,17,23
QR,Italy,Philippines,0,15,0
AT,Morocco,Italy,21,56,21
LH,Italy,Luxembourg,3,3,3
LH,United States,Aruba,0,0,0
TK,Italy,Thailand,13,12,13
AZ,Italy,Australia,0,11,0
TP,Italy,,0,41,0
LH,Nigeria,Italy,1,0,1
LH,Pakistan,Italy,0,0,0
VS,United Kingdom,United States,5,3,5
BA,Mexico,United States,0,1,0
QR,Austria,Kenya,0,0,0
EN,Italy,Aruba,0,1,0
LA,Paraguay,Italy,0,3,0
W6,United Arab Emirates,Italy,11,38,11
EW,Italy,Italy,0,0,0
U2,Italy,Italy,1689,193,1672
IV,France,Republic of Kosovo,0,0,0
FR,Morocco,Italy,37,56,37
EY,Italy,Maldives,1,4,1
LH,United States,Italy,5,10,5
OS,Italy,Austria,66,132,65
AF,Italy,Belize,0,0,0
RO,Moldova,Netherlands,0,3,0
QR,Switzerland,Indonesia,0,13,0
FR,Republic of Ireland,Italy,39,37,39
FR,Portugal,Portugal,7,10,7
QR,Indonesia,Namibia,0,0,0
IB,Portugal,Italy,10,2,10
LH,Italy,South Korea,16,15,16
W6,Italy,Austria,32,166,32
QR,Italy,Indonesia,56,111,55
SV,Pakistan,Saudi Arabia,0,0,0
HO,China,Italy,0,2,0
CA,China,Italy,1,12,1
LH,Hungary,Italy,0,0,0
EW,Italy,Spain,4,3,4
QR,United Arab Emirates,Qatar,1,0,1
UX,Italy,Argentina,7,16,7
A3,Egypt,Italy,1,14,1
TK,Italy,Mongolia,0,10,0
OD,Vietnam,Malaysia,0,1,0
U2,Italy,Egypt,127,56,126
KL,Italy,,20,56,20
LX,Germany,Italy,3,0,3
LH,Hungary,Netherlands,0,0,0
LA,Paraguay,Mexico,0,0,0
AF,Australia,Italy,0,0,0
A3,Greece,United States,0,0,0
TP,Italy,Mexico,16,47,16
