carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
AZ,Italy,Italy,764,1706,756
FR,Italy,Italy,3937,6072,3898
AZ,Italy,United States,497,768,492
FR,Italy,Spain,1778,3070,1760
LA,Italy,Brazil,30,64,30
V7,Italy,Italy,1249,1203,1237
NO,Italy,Egypt,11,20,11
NO,Italy,Spain,14,10,14
TK,Italy,Turkey,175,421,173
TU,Italy,Tunisia,0,96,0
FR,Italy,Greece,750,1117,743
FR,Italy,France,338,441,335
W6,Italy,Egypt,194,206,192
KM,Malta,Italy,0,22,0
JU,Turkey,Italy,12,14,12
FR,Italy,Morocco,168,307,166
AZ,Italy,Tunisia,8,62,8
TS,Italy,Canada,46,34,46
QR,Italy,Bangladesh,1,0,1
AT,Morocco,Italy,8,39,8
KL,Italy,,9,31,9
AT,Italy,Morocco,46,158,46
KL,Italy,Dominican Republic,0,28,0
AZ,Italy,,0,93,0
1L,Italy,Italy,0,0,0
DX,Italy,Italy,0,126,0
BA,Italy,United States,177,163,175
JU,Italy,Turkey,9,42,9
FR,Italy,United Kingdom,383,505,379
QR,Italy,,0,12,0
FR,Italy,Malta,306,489,303
AZ,Egypt,Italy,5,10,5
JL,Italy,Japan,1,0,1
TK,Italy,,0,36,0
IB,Italy,Spain,133,123,132
1L,Italy,Spain,0,0,0
1L,Italy,United Kingdom,0,0,0
UX,Spain,Spain,9,25,9
TG,Thailand,Thailand,4,9,4
FR,Italy,Austria,178,207,176
SM,Italy,Egypt,23,136,23
MS,Italy,Egypt,3,49,3
FR,Italy,Hungary,114,216,113
NO,Italy,United States,33,5,33
LX,Italy,United States,42,40,42
1L,Italy,France,0,0,0
SM,Egypt,Italy,20,34,20
FR,Italy,Croatia,97,198,96
EY,Italy,Indonesia,25,32,25
TP,Italy,United States,17,38,17
TK,Turkey,Italy,21,104,21
FR,Italy,Poland,92,132,91
U2,Italy,Italy,1693,222,1676
FR,Italy,Belgium,161,184,159
AZ,Tunisia,Italy,1,5,1
W6,Italy,United Arab Emirates,43,110,43
NO,Spain,Italy,2,3,2
FR,Italy,Germany,211,291,209
W6,Italy,Jordan,38,44,38
LA,Peru,Peru,1,7,1
U2,Italy,Spain,973,235,963
MS,Egypt,Egypt,1,17,1
JU,Italy,Serbia,43,27,43
W4,Spain,Italy,143,61,142
TK,Italy,Egypt,8,14,8
KL,Italy,United States,42,275,42
UA,United States,,0,1,0
LH,Italy,Brazil,4,23,4
IB,Italy,Portugal,4,17,4
EK,Italy,United States,61,53,60
CZ,Indonesia,China,1,8,1
TK,Germany,Turkey,4,18,4
FR,Italy,Republic of Ireland,95,193,94
V7,Italy,Greece,677,558,670
AF,Italy,,0,29,0
LA,Colombia,Colombia,6,5,6
AZ,Italy,Morocco,17,86,17
TU,Tunisia,Italy,0,9,0
U2,Italy,France,646,105,640
TK,Italy,South Africa,0,5,0
JU,Serbia,Italy,14,17,14
1L,Italy,Poland,0,0,0
LH,Italy,,0,44,0
W4,Italy,Spain,650,736,644
TP,Italy,,0,29,0
QR,Thailand,Italy,2,9,2
FR,Italy,Portugal,239,393,237
QR,Malaysia,Italy,1,4,1
FI,Italy,United States,0,2,0
JL,Italy,,0,1,0
FR,Spain,Italy,394,431,390
TK,Israel,Turkey,1,6,1
FR,Italy,Czech Republic,97,157,96
NO,Italy,Mexico,6,6,6
AT,Sierra Leone,Italy,0,0,0
W4,Italy,Italy,1784,1743,1766
NO,Italy,Maldives,4,2,4
FR,Portugal,Italy,78,81,77
PC,Italy,Turkey,98,254,97
IB,Italy,Senegal,2,14,2
TK,Austria,Turkey,5,13,5
BR,Italy,,0,1,0
VA,Australia,Australia,6,4,6
AR,Argentina,Argentina,0,11,0
W6,Italy,Bulgaria,46,63,46
KU,Italy,India,0,3,0
ET,India,Italy,0,0,0
FR,Spain,Spain,49,44,49
VY,Italy,Spain,1091,971,1080
SK,Italy,Denmark,20,28,20
TK,France,Turkey,19,25,19
EY,Thailand,Italy,3,13,3
V7,Italy,France,82,83,81
SK,Italy,Canada,4,2,4
BA,Italy,Colombia,0,0,0
AV,Colombia,Colombia,2,22,2
SK,Italy,,3,1,3
MU,Italy,Indonesia,0,37,0
FR,Italy,Netherlands,52,61,51
KU,India,Italy,1,2,1
ET,Kenya,Italy,3,1,3
AH,Algeria,France,0,0,0
TP,Italy,Brazil,69,156,68
AZ,Italy,Israel,4,13,4
MH,Malaysia,Italy,0,3,0
AI,India,India,0,1,0
AZ,Algeria,Italy,0,1,0
S4,Portugal,Portugal,0,1,0
W6,France,Italy,8,4,8
AZ,Italy,Egypt,7,46,7
FR,United Kingdom,Italy,145,99,144
BR,Indonesia,Italy,0,5,0
LH,Italy,South Korea,22,22,22
DT,Portugal,Brazil,0,1,0
LA,Italy,Argentina,4,12,4
MU,Indonesia,China,0,1,0
B6,United Kingdom,United States,0,0,0
UA,Italy,,19,13,19
FR,Morocco,Italy,68,78,67
IB,Spain,Italy,57,47,56
FR,Italy,Norway,18,29,18
IB,Italy,Mexico,25,26,25
W6,Hungary,Turkey,8,3,8
U2,Germany,Italy,33,2,33
NO,Dominican Republic,Italy,3,12,3
LA,Italy,,0,1,0
ET,Italy,Madagascar,4,7,4
3M,United States,United States,0,0,0
TK,Turkey,Austria,0,0,0
TC,Tanzania,Tanzania,0,3,0
FR,Italy,Romania,73,175,72
FR,Italy,Denmark,128,135,127
6E,Saudi Arabia,India,0,0,0
UX,Italy,Tunisia,1,0,1
NO,United States,Italy,11,2,11
QR,Germany,Sri Lanka,1,1,1
OS,Czech Republic,Italy,0,0,0
GF,India,Italy,0,0,0
FR,Croatia,Italy,16,23,16
WJ,Argentina,Argentina,0,1,0
CA,China,Italy,0,4,0
AZ,Italy,Algeria,3,18,3
EY,Italy,India,7,22,7
1L,Italy,Hungary,0,0,0
W4,Italy,Albania,669,698,662
GF,Italy,Maldives,0,4,0
LO,Italy,Poland,4,5,4
AF,Italy,El Salvador,0,0,0
UP,United States,The Bahamas,0,3,0
CX,Australia,Italy,0,0,0
LO,Poland,Poland,0,0,0
AT,Morocco,France,0,1,0
W4,Italy,Greece,364,298,360
SK,Denmark,Italy,3,3,3
KM,Malta,Germany,0,0,0
BT,Denmark,Italy,0,0,0
EY,India,Italy,3,3,3
EY,Switzerland,,0,0,0
IB,Uruguay,Italy,1,5,1
HY,Uzbekistan,Uzbekistan,0,1,0
W6,Italy,Greece,314,404,311
TK,Venezuela,Italy,0,4,0
LX,Italy,,0,7,0
KC,Kazakhstan,South Korea,0,0,0
BR,Italy,Philippines,0,12,0
LO,Italy,Turkey,7,19,7
BR,France,Japan,0,0,0
AI,India,Saudi Arabia,0,0,0
QR,Italy,India,4,16,4
RO,Italy,Turkey,0,28,0
SN,Italy,United States,0,8,0
NO,Egypt,Italy,13,9,13
ET,Italy,Ghana,0,0,0
5U,Guatemala,Mexico,0,1,0
UG,Tunisia,Italy,0,2,0
B6,United States,United States,0,16,0
UX,Spain,Colombia,0,0,0
SV,Italy,Pakistan,1,10,1
TK,Egypt,Italy,0,2,0
NP,Egypt,Egypt,0,3,0
MS,Greece,Egypt,0,1,0
H2,Peru,Peru,0,12,0
U2,France,Italy,163,19,161
FR,Germany,Italy,77,104,76
KL,Italy,El Salvador,0,1,0
AT,Senegal,Tunisia,0,0,0
VA,Australia,Italy,1,4,1
BR,Italy,Japan,0,29,0
EK,United States,Italy,2,1,2
TK,Romania,Egypt,0,0,0
KM,Italy,France,0,0,0
IB,Italy,United States,11,37,11
TK,Turkey,Hungary,0,0,0
